,outs,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
11,F,,0.003698323,0.012223323,0.009093104,0.000300499,0.09687412,0.000523286,0,0.024106725,0.00361991,0.000366703,0.354288642,0,0,0.066594412,0,0.006130875,0.005679129,0,0.000427716,8.89442E-05,0.029301608,0.002179837,0.000231803,0.000151653,0.025433597,0.00228654,0.021641791,0.000571518,0.007707884,0.000121603,0,0.000467249,0.001343114,0.022901679,0.018881974,0.001130502,0,0.188180723,0.000348296,0.005544668,0,0.000674777,0,0,0.000264807,0.000269193,0.011209284,0.005777443,0,2.70533E-05,0.313076775,0,0.002881537,0
12,F,,,0.013689653,0,0.004902451,0.033421575,0.00606493,0,0,0.000741221,0.000438116,0,0.000118807,0.000507357,0.002309469,0.006535058,0.000246366,0,0,0,0.000402475,0.120387175,0.023022288,0.018321028,0,0.000215193,0,0,0.003416597,0,0,6.71186E-05,0.000332779,0.15340575,0.001241593,0.009300723,0,0,0.004176843,0.000241838,0.017011254,0.021464893,0.000106998,0.013520809,0.000149813,0.000661169,0.009932171,0.002339111,0.028976572,0,0,0.114391144,0,0,0
13,F,,,,0.00031068,0,0.070683049,0,0,0.007358953,0.003750938,0.017131085,0,0,0.000169808,0,0,0.021199493,0.001603592,0.000917311,0.027849642,0.00080429,0.000152509,0.017790956,0,0.001218398,0.000996264,0.000673552,0.001229301,0.013988429,0,0.000158036,0.002588811,0.12467202,0.014541538,0.005939525,0.014353019,0.000866074,0.000594575,0.013562314,0,0.001715526,0.002316155,0.000315093,0.001269182,0.000126445,0.462629896,0.031399873,0.000123716,0.00180386,0,0,0.017071746,0,0,9.45984E-05
14,F,,,,,0.000218962,0.006321113,0.000396197,0.000255624,0.004625347,0,0.007407407,0,0,0,0.000387147,0,0.01130137,0.002289494,0.02425016,0,0.001009897,0,0.01347548,0.036723164,0,0.001026343,0,0.000443656,0.000341122,0.008043288,0,5.3697E-05,0.002382126,0.027052732,0.000205522,0.009771447,0.000549511,0.000154855,0.024756585,0,0.001200757,0.089636735,0,0,0,0.00066549,0.017414439,0,0.00660066,6.05364E-05,0.246870801,0.139528995,5.20915E-05,0,0.021291209
15,F,,,,,,0.000296252,0,0,0.004402862,0.009196515,0,0.017902813,0.001211827,0,0.002522704,0.004588986,0,0.000372162,0,0,0.00601312,0.002314279,0.000581395,0,0.016295026,0,0,0.227388211,0,0,0,0.001538935,0.000200884,0.044032148,0.017635223,0.003430296,0.005663049,0,0.2396361,0.008344031,0.001650308,0.005964215,0.003134796,0.009415693,0,0.260605352,0.070766883,0.004685212,0.01082766,0,0,0.027074353,0.00982943,0,0
16,F,,,,,,,0,0,0,0.005898789,0.039764359,0,0.01062417,0,0,0,0.002172863,0,0,0.03320802,0.000949668,0.005084401,0,0.00030021,0.006711409,0.000452899,0,0.018939394,0.003702332,0.00427655,0.000201898,0.011600508,0,0.019211196,0.038362439,0.040179655,0.004443504,0,0.001106195,0,0.006201981,0.09356482,0.024158171,0.000471342,0,0.001749981,0.008526188,0.00938419,0.157776446,0.006716975,0,0.299170656,0,0,0
17,F,,,,,,,,0.00027933,0.01179444,0.001494024,0.021878536,0.000772798,0,0,0.011307157,0.000482625,0.00571066,0,0,0,0,0.007583965,0.000664746,0,0.090106007,0.000621697,0,0,0.001198083,0,0,0,0.008276534,0.014505119,0,0.000931002,0.010367336,0.000435698,0.196400531,0,0,0.02645387,0.00162413,0.00770515,9.73899E-05,0.000823949,0.008037694,0,0.102211966,0.001431639,0.000609694,0.010495015,0,0,0
18,F,,,,,,,,,0,0.056270096,0.00150263,0,0.001572327,0,0.002906977,0.092255125,0,0,0.004097069,0.006535948,0.002191381,0.022781775,0,0.000569314,0.001755413,0,0,0.005189414,0,0.00041841,0,0.005010737,0.00304878,0.037283951,0,0.240594372,0,0,0.336004663,0,0.000255265,0.001614639,0.027454491,0.00506061,0.000194477,0,9.43218E-05,0.321107464,0.177459016,0.000125384,0,0.071157895,0,9.4162E-05,0
19,F,,,,,,,,,,0.023038605,0,0,0,0,0.002028398,0,0,0,0,0.234547277,0,0.008058608,0.028690229,0,0.001647989,0.01124926,0,0.002723939,0.001604278,0.034410845,0,0,0,0.439113356,0.036702592,0.028486543,0,0.000675904,0.094192543,0.000553465,0.115563298,0.021482562,0,0.020198675,0,0,0.000108672,0.087315462,0.187841817,0,0,0.176097106,0.000223989,0,0
20,F,,,,,,,,,,,0.001879699,0,0,0,0,0,0,0,0.000672043,0.345811052,0,0.000984252,0.087356322,0.121381886,0,0,0,0.009205984,0.627902091,0,0,0,0,0.000743494,0,0,0.000180963,0,0.000225454,0,0,0.006866246,0,0,0,0.034171184,0.002192982,0.000434783,0.001173333,0.000261028,0,0.411630847,0,0,0
